No	Root
0752	ትንብይ
0753	ትንትን
0754	ትንትግ
0755	ትንኵስ
0756	ትንፍስ
0757	ትንፍግ
0758	ትአትአ
0759	ትክትክ
0760	ቻህለ
0761	ችርችም
0762	ችርችር
0763	ችብችብ
0764	ችንክር
0765	ችፍችፍ
0766	ነሳህ
0767	ነሸ፟ጠ
0768	ነቃህ
0769	ነበ፟የ
0770	ነዛህ
0771	ነዳህ
0772	ነገ፟ደ
0773	ነጠ፟ለ
0774	ነጨህ
0775	ነጻህ
0776	ነፈነፈ
0777	ነፈ፟ጠ
0778	ነፋህ
0779	ንህልል
0780	ንሳንስ
0781	ንሳፍፍ
0782	ንስቅስቅ
0783	ንስንስ
0784	ንስፍስፍ
0785	ንሻትት
0786	ንሻፍፍ
0787	ንሽራትት
0788	ንሽርሽር
0789	ንሽዋርር
0790	ንሿክክ
0791	ንቍራጥጥ
0792	ንቃርር
0793	ንቅላፍአ
0794	ንቅልቅል
0795	ንቅሳቅስ
0796	ንቅርብብ
0797	ንቅርፍፍ
0798	ንቅባርር
0799	ንቅብቅብ
0800	ንቅብድድ
0801	ንቅንቅ
0802	ንቅዋልል
0803	ንቅዥቅዥ
0804	ንቅጥቅጥ
0805	ንቅፍድድ
0806	ንቋሽሽ
0807	ንባርቅ
0808	ንብልብል
0809	ንብርክክ
0810	ንብሽብሽ
0811	ንብንብ
0812	ንቧትር
0813	ንትላክስ
0814	ንትራስ
0815	ንትርክ
0816	ንትርክክ
0817	ንትባትብ
0818	ንትክትክ
0819	ንትግትግ
0820	ንችአችአ
0821	ንኵአኵአ
0822	ንክላውስ
0823	ንክራትት
0824	ንክርፍፍ
0825	ንክባልል
0826	ንክብክብ
0827	ንክትክት
0828	ንክዋትት
0829	ንክፍርር
0830	ንኳፍፍ
0831	ንዛርጥ
0832	ንዝላዝል
0833	ንዝርጥጥ
0834	ንዝርፍጥ
0835	ንዝርፍፍ
0836	ንዝንዝ
0837	ንዝአዝአ
0838	ንዝፍዝፍ
0839	ንዝፍጥጥ
0840	ንዣብብ
0841	ንዥርግግ
0842	ንዥቅዥቅ
0843	ንዥባርር
0844	ንዥብብ
0845	ንድላቅቅ
0846	ንድርብብ
0847	ንድርክክ
0848	ንድርድር
0849	ንድቅድቅ
0850	ንድባልል
0851	ንድብድብ
0852	ንድክድክ
0853	ንድፋድፍ
0854	ንጅላጅል
0855	ንጅርግግ
0856	ንጕራድድ
0857	ንጕራጕር
0858	ንጕድጕድ
0859	ንጋልል
0860	ንጋድድ
0861	ንጋጥጥ
0862	ንግላትአ
0863	ንግላውድ
0864	ንግላጅጅ
0865	ንግራግር
0866	ንግርብብ
0867	ንግርግብ
0868	ንግሽግሽ
0869	ንግብግብ
0870	ንግአግአ
0871	ንግዋልል
0872	ንግድግድ
0873	ንግጫግጭ
0874	ንግፍግፍ
0875	ንግፍጥጥ
0876	ንጓልል
0877	ንጓድድ
0878	ንጣልል
0879	ንጥልጥል
0880	ንጥራርአ
0881	ንጥራውዝ
0882	ንጥራጥስ
0883	ንጥርብብ
0884	ንጥርዝዝ
0885	ንጥብጥብ
0886	ንጥንጥ
0887	ንጥአጥአ
0888	ንጥፍጥፍ
0889	ንጫንጭ
0890	ንጭርጭር
0891	ንጭርፍፍ
0892	ንጭአጭአ
0893	ንጽባርቅ
0894	ንፍላስስ
0895	ንፍልል
0896	ንፍራግጥ
0897	ንፍራፍር
0898	ንፍርቅ
0899	ንፍርጥጥ
0900	ንፍቅፍቅ
0901	ንፍንፍ
0902	ንፏቅቅ
0903	ንᎇልᎇል
0904	ንᎇርቅቅ
0905	ንᎇአᎇአ
0906	ንᎇግᎇግ
0907	ንᎇጭᎇጭ
0908	ንᎋአᎋአ
0909	አርብድ
0910	አንቅፍ
0911	አንክስ
0912	አንግት
0913	አንጥስ
0914	አንጥፍ
0915	አጎ፟ረ
0916	ከለ፟ለ
0917	ከለ፟ሰ
0918	ከመ፟ረ
0919	ከሳህ
0920	ከረፋህ
0921	ከራህየህ
0922	ከተ፟ለ
0923	ከተ፟መ
0924	ከፈ፟ነ
0925	ከፈ፟ፈ
0926	ኵላሽ
0927	ኵላትፍ
0928	ኵልኵል
0929	ኵማትር
0930	ኵምኵም
0931	ኵስምን
0932	ኵስትር
0933	ኵስኵስ
0934	ኵራምት
0935	ኵርሽም
0936	ኵርትም
0937	ኵርኵም
0938	ኵርኵር
0939	ኵርፍርፍ
0940	ኵብልል
0941	ኵብኵብ
0942	ኵትኵት
0943	ኵናትር
0944	ኵንስንስ
0945	ኵፍኵፍ
0946	ካህሰ
0947	ካህበ
0948	ካህደ
0949	ክልብስ
0950	ክልክል
0951	ክልፍልፍ
0952	ክማች
0953	ክምክም
0954	ክስክስ
0955	ክራይ
0956	ክርብት
0957	ክርትፍ
0958	ክርክም
0959	ክርክር
0960	ክርድድ
0961	ክርፍአ
0962	ክብስብስ
0963	ክትልብ
0964	ክትክት
0965	ክናውን
0966	ክንብል
0967	ክንትር
0968	ክንክን
0969	ክንድአ
0970	ክአፍአ
0971	ክፍክፍ
0972	ኮራህ
0973	ወላህወለ
0974	ወሳህ
0975	ወራህ
0976	ወበ፟ቀ
0977	ወከ፟ለ
0978	ወዘ፟ፈ
0979	ወጠ፟ረ
0980	ወፈ፟ረ
0981	ዋህሸ፟ህ
0982	ዋህበ
0983	ዋሸህ
0984	ውላምም
0985	ውላክፍ
0986	ውላውል
0987	ውላግድ
0988	ውልብልብ
0989	ውልውል
0990	ውስልት
0991	ውስውስ
0992	ውራጭ
0993	ውርውር
0994	ውርዝአ
0995	ውርግርግ
0996	ውሽንግር
0997	ውሽክት
0998	ውብርአ
0999	ውትርትር
1000	ውትብትብ
1001	ውትውት
1002	ውትፍትፍ
1003	ውናፍል
1004	ውንብድ
1005	ውንክር
1006	ውንውን
1007	ውንጅል
1008	ውንጭፍ
1009	ውዝውዝ
1010	ውዝግዝግ
1011	ውዳጅ
1012	ውድልድል
1013	ውጫምድ
1014	ዘመ፟ረ
1015	ዘራህ
1016	ዘከ፟ረ
1017	ዘወ፟ረ
1018	ዛህለ
1019	ዜʸመ
1020	ዝላብድ
1021	ዝልዝል
1022	ዝልግልግ
1023	ዝልፍልፍ
1024	ዝምዝም
1025	ዝርብርብ
1026	ዝርንቅ
1027	ዝርክርክ
1028	ዝርክት
1029	ዝርዝር
1030	ዝርግአ
1031	ዝርግፍ
1032	ዝርጥርጥ
1033	ዝርጥጥ
1034	ዝርፍርፍ
1035	ዝርፍጥ
1036	ዝቅዝቅ
1037	ዝባርቅ
1038	ዝባንን
1039	ዝብልል
1040	ዝብዝብ
1041	ዝናክት
1042	ዝናፍል
1043	ዝንቍል
1044	ዝንብል
1045	ዝንትር
1046	ዝንግአ
1047	ዝንጥል
1048	ዝንጥፍ
1049	ዝክዝክ
1050	ዝውትር
1051	ዝጕርጕር
1052	ዝጋጅ
1053	ዝግርር
1054	ዝግንን
1055	ዝግይ
1056	ዝጥዝጥ
1057	ዝፍዝፍ
1058	ዣህዠ፟ህ
1059	ዥርግግ
1060	ዥጕርጕር
1061	ዥጕድጕድ
1062	ያህዘ
1063	ደህለጠ
1064	ደለ፟ለ
1065	ደመ፟ረ
1066	ደመ፟ነ
1067	ደማህ
1068	ደረ፟በ
1069	ደረጀህ
1070	ደረገ
1071	ደቀ፟ለ
1072	ደወ፟ለ
1073	ደወረ
1074	ደፋህ
1075	ዳህሰ
1076	ዳህሰሰ
1077	ዳህኘ፟ህ
1078	ዳህጠ
1079	ድህይ
1080	ድልድል
1081	ድልፍስ
1082	ድምስስ
1083	ድምድም
1084	ድርስም
1085	ድርቅርቅ
1086	ድርድር
1087	ድርጅ
1088	ድርግም
1089	ድሽይ
1090	ድሽድሽ
1091	ድቅድቅ
1092	ድባይ
1093	ድብልል
1094	ድብልቅ
1095	ድብልብል
1096	ድብስስ
1097	ድብስብስ
1098	ድብዝዝ
1099	ድብድብ
1100	ድናቅፍ
1101	ድናግር
1102	ድንቍል
1103	ድንቍር
1104	ድንቅር
1105	ድንብር
1106	ድንብአ
1107	ድንብዝ
1108	ድንዝዝ
1109	ድንድን
1110	ድንጕር
1111	ድንግዝ
1112	ድንግግ
1113	ድንግጥ
1114	ድንፍአ
1115	ድዝድዝ
1116	ድግድግ
1117	ድፍርስ
1118	ድፍንፍን
1119	ድፍድፍ
1120	ድፍጥጥ
1121	ድᎇልᎇል
1122	ዶለ፟ተ
1123	ጀመ፟ለ
1124	ጀመ፟ረ
1125	ጀቦ፟ነ
1126	ጅርግግ
1127	ገራህ
1128	ገፋህ
1129	ጕላምም
1130	ጕላድፍ
1131	ጕልምስ
1132	ጕልብት
1133	ጕልጕል
1134	ጕማልል
1135	ጕምርአ
1136	ጕምዝዝ
1137	ጕምጅ
1138	ጕምጥምጥ
1139	ጕስቍል
1140	ጕስጕስ
1141	ጕራብት
1142	ጕርምስ
1143	ጕርምርም
1144	ጕርብርብ
1145	ጕርብጥ
1146	ጕርንአ
1147	ጕርድም
1148	ጕርጕር
1149	ጕርጥርጥ
1150	ጕብኝ
1151	ጕብድድ
1152	ጕብጕብ
1153	ጕትምትም
1154	ጕትጕት
1155	ጕናዝል
1156	ጕናጥፍ
1157	ጕንቍል
1158	ጕንብስ
1159	ጕንጕን
1160	ጕንጭ
1161	ጕአጕአ
1162	ጕዝጕዝ
1163	ጕዳኝ
1164	ጕድጕድ
1165	ጕፍንን
1166	ጕፍይ
1167	ጋህዘ
1168	ግላምጥ
1169	ግላግል
1170	ግልምአ
1171	ግልብጥ
1172	ግልድም
1173	ግልጅጅ
1174	ግልግል
1175	ግልፍጥ
1176	ግልፍፍ
1177	ግልᎃት
1178	ግምድል
1179	ግምግም
1180	ግስግስ
1181	ግርምም
1182	ግርሽ
1183	ግርድፍ
1184	ግርጅፍ
1185	ግርግድ
1186	ግሽልጥ
1187	ግባድድ
1188	ግብስብስ
1189	ግብይ
1190	ግትልትል
1191	ግትርትር
1192	ግንብአ
1193	ግንትር
1194	ግንዝብ
1195	ግንድስ
1196	ግንግን
1197	ግንጥል
1198	ግንፍል
1199	ግንፍአ
1200	ግአግአ
1201	ግዝግዝ
1202	ግድርድር
1203	ግድግድ
1204	ግጥግጥ
1205	ግፍልፍል
1206	ግፍትር
1207	ግፍግፍ
1208	ጓህዘ
1209	ጠለ፟የ
1210	ጠማህ
1211	ጠረ፟ዘ
1212	ጠራቀመ
1213	ጠፋህ
1214	ጣህለ
1215	ጣህመ
1216	ጥልቅልቅ
1217	ጥምልምል
1218	ጥምስምስ
1219	ጥምስስ
1220	ጥምርር
1221	ጥምዝምዝ
1222	ጥምዝዝ
1223	ጥምጥም
1224	ጥርምስ
1225	ጥርቅም
1226	ጥርንቅ
1227	ጥርጥስ
1228	ጥርጥር
1229	ጥቅልል
1230	ጥቅጥቅ
1231	ጥብስቅ
1232	ጥብርብር
1233	ጥብድል
1234	ጥብጥብ
1235	ጥናቅር
1236	ጥናብስ
1237	ጥናውት
1238	ጥናግአ
1239	ጥንስስ
1240	ጥንቍል
1241	ጥንቅቅ
1242	ጥንብአ
1243	ጥንብዝ
1244	ጥንክር
1245	ጥንዝአ
1246	ጥንጥን
1247	ጥንፍፍ
1248	ጥውልውል
1249	ጥውልግ
1250	ጥዝጥዝ
1251	ጥፍጥፍ
1252	ጨህረተ
1253	ጨለ፟መ
1254	ጨለ፟ፈ
1255	ጨመ፟ረ
1256	ጨመ፟ተ
1257	ጨበ፟ጠ
1258	ጨፈ፟ነ
1259	ጫህነ
1260	ጫህጨህ
1261	ጭWርር
1262	ጭልጭል
1263	ጭማልቅ
1264	ጭማትር
1265	ጭምድድ
1266	ጭምጭም
1267	ጭራምም
1268	ጭራምት
1269	ጭራምድ
1270	ጭርግድ
1271	ጭርጭስ
1272	ጭቅይ
1273	ጭቅጭቅ
1274	ጭብርብር
1275	ጭብጭብ
1276	ጭንቍር
